area;stato;cartella_principale;tipo_file;nome_file;percorso_relativo;dimensione_kb;ultima_modifica
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Informe de Revisión 2023.docx;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2023.docx;966.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Informe de Revisión 2019.docx;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2019.docx;711.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Informe de Revisión 2020.docx;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2020.docx;407.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Informe de Revisión 2021.docx;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2021.docx;859.7;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Informe de Revisión 2021.pdf;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2021.pdf;1001.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Informe de Revisión 2022.pdf;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Años anteriores\Informe de Revisión 2022.pdf;1098.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Informe de Revisión 2025.docx;0-GUÍA DEL SISTEMA\0.3. Revisión del sistema\Informe de Revisión 2025.docx;1827.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;aperdura centro trabajo ebs.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\aperdura centro trabajo ebs.pdf;781.1;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;AUTORISACION.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\AUTORISACION.pdf;402.1;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;CERTIFICADO ELÉCTRICO PT 2025.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\CERTIFICADO ELÉCTRICO PT 2025.pdf;104.4;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;DECLARACION RESPONSABLE SEGURIDAD INDUSTRIAL.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\DECLARACION RESPONSABLE SEGURIDAD INDUSTRIAL.pdf;755.1;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;DECLARACION RESPONSABLE.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\DECLARACION RESPONSABLE.pdf;1179.2;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Justificante presentación REA[102164].pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\Justificante presentación REA[102164].pdf;80.1;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Listado Requisitos legales.docx;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\Listado Requisitos legales.docx;273.7;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xls;REQUISITOS LEGALES 2022 - AGOSTO.xls;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\REQUISITOS LEGALES 2022 - AGOSTO.xls;120.5;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xls;REQUISITOS LEGALES 2024.xls;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\REQUISITOS LEGALES 2024.xls;75.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xls;REQUISITOS LEGALES 2025.xls;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\REQUISITOS LEGALES 2025.xls;76.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;URB LOC 6734-2023.pdf;0-GUÍA DEL SISTEMA\0.4. Requisitos legales\URB LOC 6734-2023.pdf;200.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;70.- Indicadores_Ed.02- ENEMEK.xlsx;0-GUÍA DEL SISTEMA\0.5. Indicadores\Años anteriores\70.- Indicadores_Ed.02- ENEMEK.xlsx;54.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Indicadores_Ed.02 2022 ENEMEK.xlsx;0-GUÍA DEL SISTEMA\0.5. Indicadores\Años anteriores\Indicadores_Ed.02 2022 ENEMEK.xlsx;61.7;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Indicadores_Ed.02 ENEMEK.xlsx;0-GUÍA DEL SISTEMA\0.5. Indicadores\Años anteriores\Indicadores_Ed.02 ENEMEK.xlsx;53.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Indicadores_Ed.02- ENEMEK.xlsx;0-GUÍA DEL SISTEMA\0.5. Indicadores\Años anteriores\Indicadores_Ed.02- ENEMEK.xlsx;54.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Indicadores_Ed.02 ENEMEK.xlsx;0-GUÍA DEL SISTEMA\0.5. Indicadores\Indicadores_Ed.02 ENEMEK.xlsx;82.5;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;ACTA REUNION DE SEGURIDAD.docx;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\ACTA REUNION DE SEGURIDAD.docx;128.4;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.png;Carretera Fraternidad-Muprespa.png;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Carretera Fraternidad-Muprespa.png;280.3;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Cartel GS Muevete.pdf;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Cartel GS Muevete.pdf;514.3;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.png;Hacer clic salva vidas Fraternidad- Muprespa.png;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Hacer clic salva vidas Fraternidad- Muprespa.png;157.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.png;Uso-pantalla-visualización-de-datos-768x1085.png;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Uso-pantalla-visualización-de-datos-768x1085.png;646.1;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.png;Velocidad Fraternidad-Muprespa.png;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Velocidad Fraternidad-Muprespa.png;259.3;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.png;Ver y ser vistos_0.png;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\Campañas\Ver y ser vistos_0.png;247.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;COMUNICACIONES FORMATO.docx;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\COMUNICACIONES FORMATO.docx;73.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;EXPONE.docx;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\EXPONE.docx;17.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;MATRIZ DE COMUNICACION.xlsx;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\MATRIZ DE COMUNICACION.xlsx;12.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;REGISTRO COMUNICACION DELEG. PREV^.docx;0-GUÍA DEL SISTEMA\0.6. Comunicaciones\REGISTRO COMUNICACION DELEG. PREV^.docx;73.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;ANSALDO 30.04.2021.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2021\ANSALDO 30.04.2021.pdf;261.3;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;Encuesta Firmada SAET 2021.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2021\Encuesta Firmada SAET 2021.pdf;261.6;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;GES 2019- 09.03.2020.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2021\GES 2019- 09.03.2020.pdf;275.8;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;HAMON 2019- 12.03.2020.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2021\HAMON 2019- 12.03.2020.pdf;260.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;PRODIEL 30.04.2021.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2021\PRODIEL 30.04.2021.pdf;258.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;OHL JAEN 2022.pdf;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\2022\OHL JAEN 2022.pdf;266.4;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Encuesta.docx;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\Encuesta.docx;2132.5;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;Encuesta_Rev_01.docx;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\Encuesta_Rev_01.docx;613.2;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Media de encuestas - 2021.xlsx;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\Media de encuestas - 2021.xlsx;18.2;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.xlsx;Media de encuestas - 2022.xlsx;0-GUÍA DEL SISTEMA\0.7. Satisfaccion cliente\Media de encuestas - 2022.xlsx;17.9;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.docx;GUIA DEL SISTEMA ENEMEK REV06.docx;0-GUÍA DEL SISTEMA\GUIA DEL SISTEMA ENEMEK REV06.docx;905.0;1779627920.0
Fornitori/subappalti o generale;attivo/da verificare;0-GUÍA DEL SISTEMA;.pdf;GUIA DEL SISTEMA ENEMEK REV06.pdf;0-GUÍA DEL SISTEMA\GUIA DEL SISTEMA ENEMEK REV06.pdf;2495.4;1779627920.0
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.docx;GUIA DEL SISTEMA ENEMEK REV05.docx;0-GUÍA DEL SISTEMA\OLD\GUIA DEL SISTEMA ENEMEK REV05.docx;903.7;1779627920.0
Fornitori/subappalti o generale;storico/obsoleto;0-GUÍA DEL SISTEMA;.pdf;GUIA DEL SISTEMA ENEMEK REV05.pdf;0-GUÍA DEL SISTEMA\OLD\GUIA DEL SISTEMA ENEMEK REV05.pdf;762.3;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.xls;actualizacion de documentos calidad.xls;1-INFORMACION DOCUMENTADA\actualizacion de documentos calidad.xls;25.5;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.xls;información documentada.xls;1-INFORMACION DOCUMENTADA\información documentada.xls;379.0;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.pdf;listado de procedimientos sistema_11.10.2024.pdf;1-INFORMACION DOCUMENTADA\listado de procedimientos sistema_11.10.2024.pdf;318.2;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.pdf;MPD ENEMEK.pdf;1-INFORMACION DOCUMENTADA\MPD ENEMEK.pdf;265.7;1779627920.0
Documentazione;storico/obsoleto;1-INFORMACION DOCUMENTADA;.xls;información documentada.xls;1-INFORMACION DOCUMENTADA\OLD\información documentada.xls;393.0;1779627920.0
Documentazione;storico/obsoleto;1-INFORMACION DOCUMENTADA;.pdf;listado de procedimientos sistema.pdf;1-INFORMACION DOCUMENTADA\OLD\listado de procedimientos sistema.pdf;71.2;1779627920.0
Documentazione;storico/obsoleto;1-INFORMACION DOCUMENTADA;.docx;P-01_GESTION DE LA INFORMACION DOCUMENTADA 02.docx;1-INFORMACION DOCUMENTADA\OLD\P-01_GESTION DE LA INFORMACION DOCUMENTADA 02.docx;283.5;1779627920.0
Documentazione;storico/obsoleto;1-INFORMACION DOCUMENTADA;.pdf;P-01_GESTION DE LA INFORMACION DOCUMENTADA 02.pdf;1-INFORMACION DOCUMENTADA\OLD\P-01_GESTION DE LA INFORMACION DOCUMENTADA 02.pdf;288.8;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.docx;P-01_GESTION DE LA INFORMACION DOCUMENTADA 03.docx;1-INFORMACION DOCUMENTADA\P-01_GESTION DE LA INFORMACION DOCUMENTADA 03.docx;382.0;1779627920.0
Documentazione;attivo/da verificare;1-INFORMACION DOCUMENTADA;.pdf;P-01_GESTION DE LA INFORMACION DOCUMENTADA 03.pdf;1-INFORMACION DOCUMENTADA\P-01_GESTION DE LA INFORMACION DOCUMENTADA 03.pdf;867.0;1779627920.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;AI- ATLAS 2020.doc;10-AUDITORIA\AUDITORIAS INTERNAS\2020\AI- ATLAS 2020.doc;418.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;77. AI- ATLAS 2021.pdf;10-AUDITORIA\AUDITORIAS INTERNAS\2021\77. AI- ATLAS 2021.pdf;327.2;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;AI- ATLAS 2021.doc;10-AUDITORIA\AUDITORIAS INTERNAS\2021\AI- ATLAS 2021.doc;324.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.docx;AI- ATLAS 2022.docx;10-AUDITORIA\AUDITORIAS INTERNAS\2022\AI- ATLAS 2022.docx;115.6;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;AI- ATLAS 2022.pdf;10-AUDITORIA\AUDITORIAS INTERNAS\2022\AI- ATLAS 2022.pdf;309.6;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;2022 Informe de RECERTIFICACION ENEMEK.pdf;10-AUDITORIA\AUDITORIAS INTERNAS\2023\2022 Informe de RECERTIFICACION ENEMEK.pdf;205.4;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.docx;AI- ATLAS 2023.docx;10-AUDITORIA\AUDITORIAS INTERNAS\2023\AI- ATLAS 2023.docx;371.6;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.docx;AI- ATLAS 2024.docx;10-AUDITORIA\AUDITORIAS INTERNAS\2024\AI- ATLAS 2024.docx;355.2;1779628193.0
Audit;storico/obsoleto;10-AUDITORIA;.docx;P-10_AUDITORIA INTERNA R02.docx;10-AUDITORIA\OLD\P-10_AUDITORIA INTERNA R02.docx;380.1;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.docx;P-10_AUDITORIA INTERNA R03.docx;10-AUDITORIA\P-10_AUDITORIA INTERNA R03.docx;381.0;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;P-10_AUDITORIA INTERNA R03.pdf;10-AUDITORIA\P-10_AUDITORIA INTERNA R03.pdf;825.1;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;74.Plan de auditoria ATLAS 2021.pdf;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\74.Plan de auditoria ATLAS 2021.pdf;187.6;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.docx;Plan Anual de Auditorías_2016.docx;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan Anual de Auditorías_2016.docx;281.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;Plan de auditoria ATLAS 2019.pdf;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2019.pdf;157.9;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;Plan de auditoria ATLAS 2020.doc;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2020.doc;66.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;Plan de auditoria ATLAS 2021 - copia.doc;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2021 - copia.doc;67.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;Plan de auditoria ATLAS 2021.doc;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2021.doc;67.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;Plan de auditoria ATLAS 2021.pdf;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2021.pdf;184.5;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;Plan de auditoria ATLAS 2022.doc;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS 2022.doc;67.0;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.pdf;Plan de auditoria ATLAS.pdf;10-AUDITORIA\PLAN DE AUDITORIAS\Años anteriores\Plan de auditoria ATLAS.pdf;158.6;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;Plan de auditoria ATLAS 2025.doc;10-AUDITORIA\PLAN DE AUDITORIAS\Plan de auditoria ATLAS 2025.doc;67.0;1779628193.0
Audit;attivo/da verificare;10-AUDITORIA;.doc;PROGRAMA AUDITORÍAS INTERNAS.doc;10-AUDITORIA\PROGRAMA DE AUDITORIAS\PROGRAMA AUDITORÍAS INTERNAS.doc;194.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO INCENDIO 2020.doc;11-PLAN DE EMERGENCIAS\2020\FORMATO WORD\SIMULACRO INCENDIO 2020.doc;163.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO VERTIDO 2020.doc;11-PLAN DE EMERGENCIAS\2020\FORMATO WORD\SIMULACRO VERTIDO 2020.doc;168.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO INCENDIO 2020.pdf;11-PLAN DE EMERGENCIAS\2020\SIMULACRO INCENDIO 2020.pdf;100.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO VERTIDO 2020.doc;11-PLAN DE EMERGENCIAS\2020\SIMULACRO VERTIDO 2020.doc;168.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO VERTIDO 2020.pdf;11-PLAN DE EMERGENCIAS\2020\SIMULACRO VERTIDO 2020.pdf;103.6;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.docx;cuestionario electrocución soluciones.docx;11-PLAN DE EMERGENCIAS\2021\ELECTROCUCIÓN\cuestionario electrocución soluciones.docx;82.1;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.docx;cuestionario electrocución.docx;11-PLAN DE EMERGENCIAS\2021\ELECTROCUCIÓN\cuestionario electrocución.docx;82.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.docx;Lesiones por electricidad.docx;11-PLAN DE EMERGENCIAS\2021\ELECTROCUCIÓN\Lesiones por electricidad.docx;24.7;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;PAAE.pdf;11-PLAN DE EMERGENCIAS\2021\ELECTROCUCIÓN\PAAE.pdf;455.9;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.docx;TEST.docx;11-PLAN DE EMERGENCIAS\2021\ELECTROCUCIÓN\TEST.docx;14.8;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO ACCIDENTE- EXPLOSION.doc;11-PLAN DE EMERGENCIAS\2021\SIMULACRO ACCIDENTE- EXPLOSION.doc;167.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.rar;6 - SIMULACRO VERTIDO lloseta.rar;11-PLAN DE EMERGENCIAS\2022\6 - SIMULACRO VERTIDO lloseta.rar;415.2;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.rar;6 - SIMULACRO VERTIDO petra.rar;11-PLAN DE EMERGENCIAS\2022\6 - SIMULACRO VERTIDO petra.rar;744.8;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO INCENDIO 2022.doc;11-PLAN DE EMERGENCIAS\2022\SIMULACRO INCENDIO 2022.doc;163.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO INCENDIO 2022.pdf;11-PLAN DE EMERGENCIAS\2022\SIMULACRO INCENDIO 2022.pdf;99.4;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO VERTIDO BOLARQUE.pdf;11-PLAN DE EMERGENCIAS\2022\SIMULACRO VERTIDO BOLARQUE.pdf;4802.8;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO ACCIDENTE 2023.doc;11-PLAN DE EMERGENCIAS\2023\SIMULACRO ACCIDENTE 2023.doc;167.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO VERTIDO .doc;11-PLAN DE EMERGENCIAS\2023\SIMULACRO VERTIDO .doc;154.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO EXPLOSION 2024.pdf;11-PLAN DE EMERGENCIAS\2024\SIMULACRO EXPLOSION 2024.pdf;629.6;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO EXPLOSION.doc;11-PLAN DE EMERGENCIAS\2024\SIMULACRO EXPLOSION.doc;156.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;SIMULACRO INCENDIO .doc;11-PLAN DE EMERGENCIAS\2024\SIMULACRO INCENDIO .doc;155.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;SIMULACRO INCENDIO 2024.pdf;11-PLAN DE EMERGENCIAS\2024\SIMULACRO INCENDIO 2024.pdf;608.9;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.docx;cuestionario electrocución.docx;11-PLAN DE EMERGENCIAS\CUESTIONARIO ACTUACION CASO ELECTROCUCION POLVORA\cuestionario electrocución.docx;82.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;OFICINA ENEMEK.pdf;11-PLAN DE EMERGENCIAS\CUESTIONARIO ACTUACION CASO ELECTROCUCION POLVORA\OFICINA ENEMEK.pdf;1776.5;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;PAAE.pdf;11-PLAN DE EMERGENCIAS\CUESTIONARIO ACTUACION CASO ELECTROCUCION POLVORA\PAAE.pdf;455.9;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;POLVORA ENEMEK.pdf;11-PLAN DE EMERGENCIAS\CUESTIONARIO ACTUACION CASO ELECTROCUCION POLVORA\POLVORA ENEMEK.pdf;3218.9;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.pdf;EMERGENCIAS ACTUACIONES GENERALES.pdf;11-PLAN DE EMERGENCIAS\EMERGENCIAS ACTUACIONES GENERALES.pdf;481.0;1779628193.0
Emergenze;attivo/da verificare;11-PLAN DE EMERGENCIAS;.doc;FICHA INVESTIGACION SITUACIONES EMERGECIA - copia.doc;11-PLAN DE EMERGENCIAS\FICHA INVESTIGACION SITUACIONES EMERGECIA - copia.doc;46.5;1779628193.0
